key,value,description
APOR,AG,Agribusiness & Agricultural Workers
APOR,BA,Banks
APOR,BP,BPOs & Export-Oriented Business Personnel
APOR,CA,Civil Aviation
APOR,CB,Customs Brokerage (Logistic Services)
APOR,CM,Capital Market Personnel (Skeletal Workforce)
APOR,CY,Container Yards (Logistic Services)
APOR,DC,Delivery services of cargoes
APOR,DE,Delivery Services
APOR,DO,Distressed OFWs
APOR,DP,Delivery of Parcels
APOR,DS,DOLE Skeletal Staff for TUPAD
APOR,EN,Energy Companies
APOR,ER,Emergency Responders
APOR,FC,Food Chain/ Restaurants
APOR,FF, Freight forwarders (Logistics Services)
APOR,FS,Funeral Service
APOR,GE,Government Agency - Executive
APOR,GJ,Government Agency - Judicial
APOR,GL,Government Agency - Legislative
APOR,GO,Government Agency
APOR,GR,Grocery / Convenience Stores
APOR,HM,Heads of Mission/Designated Foreign Mission Reps
APOR,HT,Hotel Employees and Tenants
APOR,IP,International Passengers and Driver
APOR,LW,Logical Warehouse
APOR,ME,Media Personalities
APOR,MS,Medical Services
APOR,MF,Manufacturing
APOR,MT,Money Transfer Services
APOR,PH,Pharmacies / Drug Stores
APOR,PM,Public Market
APOR,PO,Port operators (Logistics Services)
APOR,SA,Sanitation
APOR,SH,Ship Captain & Crew
APOR,SL,Shipping lines
APOR,SS,Security Services
APOR,TE,Telecommunications
APOR,TF,Transportation Facilities
APOR,TS,Trucking Services
APOR,UT,Utilities
APOR,VE,Veterinary
APOR,WC,Water Companies
APOR,WH,Warehousing (Logistic Services)
APOR,SO,Social Amelioration
APOR,DR,Disaster and Risk Reduction
APOR,BPO,Business Process Outsourcing
