id,registrar_short_name,apor_type
1,DOH,MS
2,DTI,GR
3,DTI,FC
4,DTI,FS
5,DTI,PH
6,DTI,BP
7,DTI,MF
8,DTI,FF
9,DTI,WH
10,DTI,TS
11,DTI,LW
12,DTI,DC
13,DTI-BOI,MF
14,DTI-BOI,BP
15,DOLE,DS
16,NTC,TE
17,DOE,EN
18,DFA,HM
19,DOT,HT
20,DOTr,TF
21,BSP,BA
22,BSP,MT
23,BOC,CB
24,BOC,CY
25,CAAP,CA
26,DA,AG
27,DILG,SS
28,DICT-PRD,DE
29,DICT-PRD,DP
30,DICT,UT
31,DICT,GO
32,DICT,GE
33,DICT,GJ
34,DICT,GL
35,LGU,SA
36,LGU,TF
37,LGU,PM
38,IATF,ER
39,MWSS,WC
40,OWWA,DO
41,PCOO,ME
42,SEC,CM
43,PPA,SL
44,PPA,PO
45,PPA,CY
46,PPA,SH
47,PSE,CM
48,DTI-SCLMD,DC
49,DTI-SCLMD,LW
50,DTI-CPG,FC
51,DTI-CPG,GR
52,DTI-CPG,FS
